,Discord,Game,Role
10,dzok#4976,Astral Onslaught!,Programmer
11,Veleran#1812,Astral Onslaught!,Programmer
12,King Claw #1819,Astral Onslaught!,Gameplay Designer
17,!rmfandyplayz#9644,Epic Gacha Waifu Wars XIII Requiem Remasterd HD,Programmer
19,rent#1220,Epic Gacha Waifu Wars XIII Requiem Remasterd HD,Artist
25,Pineapple Guava#9400,An Aarmory of Anteater,Programmer
34,ChrisTapi#9908,Notebook Heroes,Audio Designer
35,Natura⍼#6135,Zot Racer,Programmer
36,ColeYoung#3999,Zot Racer,Programmer
49,hungbui12502#3924,Keeper of Time: Age of Fire,Artist
51,PineappleGuava#9400,Spellbook,Programmer
53,Eeks#1801,Spellbook,Artist
55,Katen#7639,Spellbook,Gameplay Designer
61,Coffee#6802,The Last Crucible,Gameplay Designer
63,Ziln00bas#2882,The Last Crucible,Audio Designer
